date,visits,unique_visitors,page_views,bounce_rate,category
2024-01-01,1500,1200,3000,40.0,Technology
2024-01-02,1800,1500,3500,35.0,Health
2024-01-03,2000,1700,4000,30.0,Lifestyle
2024-01-04,2200,1800,4500,28.0,Sports
2024-01-05,2100,1600,4200,32.0,Lifestyle
2024-01-06,2500,2000,5000,25.0,Sports
2024-01-07,2300,1900,4700,27.5,Lifestyle
2024-02-01,2400,2000,4800,26.5,Sports
2024-02-02,2600,2100,5200,24.5,Lifestyle
2024-02-03,2800,2200,5500,23.5,Sports
2024-02-04,2700,2150,5300,22.5,Lifestyle
2024-03-01,2900,2300,5600,21.5,Sports
2024-03-02,3000,2400,5800,20.5,Lifestyle
2024-03-03,3100,2500,5900,19.5,Sports
2024-03-04,3200,2600,6000,18.5,Lifestyle
2024-04-01,3300,2400,6100,17.5,Lifestyle
2024-04-02,3400,2500,6200,16.5,Sports
2024-04-03,3500,2600,6300,15.5,Lifestyle
2024-05-01,3600,2700,6400,14.5,Sports
2024-05-02,3800,2800,6600,13.5,Lifestyle
2024-06-01,4100,2900,6800,12.5,Sports
2024-06-02,4400,3000,7000,11.5,Lifestyle
2024-07-01,4500,3100,7200,10.5,Sports
2024-07-02,5700,3200,7500,9.5,Lifestyle
2024-08-01,5900,3300,7800,8.5,Sports
2024-08-02,6200,3400,8100,7.5,Lifestyle
2024-09-01,6500,3500,8200,6.5,Sports
2024-09-02,6600,3600,8400,5.5,Lifestyle
2024-10-01,6700,3700,8500,4.5,Sports
2024-10-02,6900,3800,8600,3.5,Lifestyle
2024-11-01,7200,3900,8800,2.5,Sports
2024-11-02,7400,4000,9000,1.5,Lifestyle
2024-12-01,7500,4100,9300,1.2,Sports
